,Account_ID,Customer_ID,Account_Type,Open_Date,Balance,Account_Status,Branch_ID,Opening_Channel
0,A000001,C00001,SAVINGS,2022-01-09,98797.06,ACTIVE,BR004,AGENT
1,A000002,C00002,FIXED DEPOSIT,2019-10-21,51251.89,ACTIVE,BR025,ONLINE
2,A000003,C00002,SALARY,2026-01-30,26992.03,DORMANT,BR025,ONLINE
3,A000004,C00003,FIXED DEPOSIT,2022-11-22,132396.69,ACTIVE,BR024,BRANCH
4,A000005,C00004,CURRENT,2022-05-19,3241.72,ACTIVE,BR012,ONLINE
5,A000006,C00005,SALARY,2025-05-04,4570.35,ACTIVE,BR011,AGENT
6,A000007,C00005,SAVINGS,2024-01-16,69288.91,DORMANT,BR011,AGENT
7,A000008,C00006,SAVINGS,2019-12-22,4744.1,ACTIVE,BR012,BRANCH
8,A000009,C00007,CURRENT,2025-05-06,151705.75,ACTIVE,BR009,ONLINE
9,A000010,C00008,CURRENT,2022-05-07,336555.44,ACTIVE,BR002,AGENT
10,A000011,C00008,FIXED DEPOSIT,2024-10-16,201428.17,CLOSED,BR002,AGENT
11,A000012,C00009,SAVINGS,2017-07-09,36357.94,ACTIVE,BR019,ONLINE
12,A000013,C00009,SALARY,2024-12-02,76092.99,ACTIVE,BR019,ONLINE
13,A000014,C00010,SALARY,2025-06-01,14228.51,ACTIVE,BR022,AGENT
14,A000015,C00011,CURRENT,2020-11-06,2011.48,ACTIVE,BR008,BRANCH
15,A000016,C00012,SAVINGS,2025-03-05,179206.47,CLOSED,BR003,AGENT
16,A000017,C00013,SAVINGS,2025-09-30,39538.92,ACTIVE,BR004,BRANCH
17,A000018,C00014,SAVINGS,2022-08-12,57179.32,DORMANT,BR027,AGENT
18,A000019,C00015,SALARY,2019-11-21,19210.39,ACTIVE,BR012,ONLINE
19,A000020,C00015,SALARY,2022-03-28,12728.29,DORMANT,BR012,BRANCH
20,A000021,C00016,SALARY,2024-03-17,3955.0,DORMANT,BR018,BRANCH
21,A000022,C00017,CURRENT,2021-06-21,36293.43,CLOSED,BR013,ONLINE
22,A000023,C00018,SALARY,2025-11-29,26130.03,DORMANT,BR009,BRANCH
23,A000024,C00019,CURRENT,2026-02-09,4446.63,ACTIVE,BR020,ONLINE
24,A000025,C00020,SAVINGS,2018-10-12,41902.19,CLOSED,BR011,AGENT
25,A000026,C00021,CURRENT,2023-06-05,25295.93,ACTIVE,BR013,AGENT
26,A000027,C00022,SAVINGS,2017-08-06,9715.68,DORMANT,BR017,ONLINE
27,A000028,C00023,SAVINGS,2018-03-28,31371.43,ACTIVE,BR007,ONLINE
28,A000029,C00023,FIXED DEPOSIT,2020-05-07,66203.41,CLOSED,BR007,BRANCH
29,A000030,C00024,FIXED DEPOSIT,2020-12-27,29453.35,ACTIVE,BR005,ONLINE
30,A000031,C00025,SAVINGS,2024-11-02,29006.56,ACTIVE,BR008,BRANCH
31,A000032,C00026,SAVINGS,2025-11-06,11764.03,DORMANT,BR023,BRANCH
32,A000033,C00027,FIXED DEPOSIT,2017-02-28,19734.58,ACTIVE,BR025,BRANCH
33,A000034,C00028,SAVINGS,2025-11-11,8568.02,DORMANT,BR015,ONLINE
34,A000035,C00029,FIXED DEPOSIT,2021-10-20,88644.27,CLOSED,BR011,ONLINE
35,A000036,C00030,CURRENT,2017-09-26,7560.03,DORMANT,BR007,AGENT
36,A000037,C00031,FIXED DEPOSIT,2022-07-16,157838.71,DORMANT,BR004,AGENT
37,A000038,C00032,SAVINGS,2022-09-26,7616.48,ACTIVE,BR002,BRANCH
38,A000039,C00033,SAVINGS,2024-07-25,55634.66,ACTIVE,BR006,ONLINE
39,A000040,C00033,SALARY,2024-08-27,3465.23,DORMANT,BR006,ONLINE
40,A000041,C00034,FIXED DEPOSIT,2023-11-21,580852.68,ACTIVE,BR020,ONLINE
41,A000042,C00035,CURRENT,2021-01-04,61541.23,ACTIVE,BR008,ONLINE
