,Payment_ID,Card_ID,Customer_ID,Billing_Month,Bill_Amount,Minimum_Due,Amount_Paid,Payment_Date,Payment_Status,Late_Fee
0,P0000001,CC00741,C04475,2025-04,3054.28,152.71,0.0,2025-04-13,MISSED,0
1,P0000002,CC00641,C01228,2025-05,9357.2,467.86,2807.16,2025-05-22,PARTIAL,250
2,P0000003,CC03238,C02259,2026-06,12493.11,624.66,12493.11,2026-06-13,Paid,0
3,P0000004,CC03170,C00826,2025-10,5548.17,277.41,277.41,2025-10-10,PARTIAL,0
4,P0000005,CC02133,C00060,2025-05,6690.55,334.53,2007.16,2025-05-15,PARTIAL,0
5,P0000006,CC02485,C02621,2025-07,11567.78,578.39,578.39,2025-07-30,PARTIAL,100
6,P0000007,CC01756,C03067,2025-01,16412.51,820.63,0.0,2025-01-30,MISSED,750
7,P0000008,CC03058,C04045,2025-02,33061.05,1653.05,0.0,2025-02-17,MISSED,250
8,P0000009,CC01439,C01028,2025-10,11903.65,595.18,0.0,2025-10-22,MISSED,250
9,P0000010,CC00038,C01459,2025-01,9518.14,475.91,2855.44,2025-03-01,PARTIAL,100
10,P0000011,CC01257,C00105,2025-07,69329.0,3466.45,76261.9,2025-08-14,Paid,750
11,P0000012,CC01222,C00213,2025-02,5790.64,289.53,6369.7,2025-02-22,Paid,750
12,P0000013,CC02908,C04698,2025-02,9515.7,475.79,6660.99,2025-02-22,PARTIAL,250
13,P0000014,CC00394,C04203,2026-01,138958.68,6947.93,97271.08,2026-01-13,PARTIAL,0
14,P0000015,CC00267,C03204,2025-02,30646.58,1532.33,30646.58,2025-02-17,Paid,250
15,P0000016,CC00226,C00363,2026-03,6369.91,318.5,4458.94,2026-03-22,PARTIAL,750
16,P0000017,CC02412,C03335,2025-09,36747.51,1837.38,0.0,2025-10-15,MISSED,750
17,P0000018,CC01453,C02676,2025-04,45246.09,2262.3,31672.26,2025-04-15,PARTIAL,0
18,P0000019,CC00331,C03273,2025-01,27510.03,1375.5,1375.5,2025-02-14,PARTIAL,500
19,P0000020,CC02078,C02594,2026-02,5795.99,289.8,0.0,2026-04-01,MISSED,500
20,P0000021,CC03197,C02473,2025-08,10560.05,528.0,11616.06,2025-09-14,Paid,750
21,P0000022,CC02649,C03130,2025-03,5219.53,260.98,0.0,2025-03-30,MISSED,750
22,P0000023,CC02596,C03855,2026-02,9357.05,467.85,6549.93,2026-10-02,PARTIAL,0
23,P0000024,CC00792,C04156,2025-08,6007.74,300.39,6608.51,2025-09-29,Paid,100
24,P0000025,CC01456,C01656,2025-07,2704.61,135.23,0.0,2025-08-14,MISSED,100
25,P0000026,CC03051,C04514,2025-01,9528.31,476.42,0.0,2025-01-22,MISSED,750
26,P0000027,CC01283,C00729,2025-04,9238.28,461.91,461.91,2025-04-22,PARTIAL,500
27,P0000028,CC01986,C00425,2026-03,11588.47,579.42,3476.54,2026-03-13,PARTIAL,0
28,P0000029,CC01923,C03734,2026-03,5962.17,298.11,298.11,2026-03-17,PARTIAL,500
29,P0000030,CC01233,C01383,2025-10,10921.05,546.05,12013.16,2025-11-29,Paid,250
30,P0000031,CC01377,C01982,2025-08,36662.91,1833.15,1833.15,2025-08-30,PARTIAL,750
31,P0000032,CC01589,C04270,2026-04,32440.18,1622.01,9732.05,2026-04-22,PARTIAL,750
32,P0000033,CC02298,C01659,2026-04,11698.43,584.92,584.92,2026-05-15,PARTIAL,750
33,P0000034,CC03231,C01290,2026-05,6849.59,342.48,4794.71,2026-06-29,PARTIAL,750
34,P0000035,CC01556,C04490,2026-05,64346.55,3217.33,64346.55,2026-05-30,Paid,500
35,P0000036,CC01675,C03529,2025-06,7458.97,372.95,2237.69,2025-06-30,PARTIAL,500
36,P0000037,CC02323,C01071,2026-06,2964.72,148.24,3261.19,2026-06-10,Paid,0
37,P0000038,CC01436,C00123,2026-03,6032.06,301.6,4222.44,2026-03-15,PARTIAL,0
38,P0000039,CC03364,C02602,2026-01,61466.28,3073.31,0.0,2026-01-13,MISSED,0
39,P0000040,CC01214,C01213,2025-08,4085.41,204.27,2859.79,2025-08-15,PARTIAL,0
40,P0000041,CC01938,C00305,2026-05,15030.21,751.51,16533.23,2026-05-13,Paid,0
41,P0000042,CC02050,C01634,2025-08,24217.85,1210.89,26639.64,2025-08-30,Paid,100
42,P0000043,CC02563,C01458,2025-08,8292.8,414.64,9122.08,2025-08-22,Paid,250
43,P0000044,CC01388,C02222,2025-01,4815.75,240.79,3371.02,2025-01-22,PARTIAL,500
44,P0000045,CC00023,C00833,2026-01,5617.81,280.89,3932.47,2026-01-13,PARTIAL,0
45,P0000046,CC02008,C02152,2026-06,3574.99,178.75,3932.49,2026-07-15,Paid,250
46,P0000047,CC02562,C01935,2025-07,38313.97,1915.7,1915.7,2025-07-13,PARTIAL,0
47,P0000048,CC00316,C04140,2026-06,2476.22,123.81,2723.84,2026-06-30,Paid,100
48,P0000049,CC02814,C02808,2026-03,6344.34,317.22,1903.3,2026-03-15,PARTIAL,0
49,P0000050,CC00735,C00217,2026-03,22945.15,1147.26,25239.67,2026-03-17,Paid,250
50,P0000051,CC02600,C03253,2025-08,10841.51,542.08,3252.45,2025-08-15,PARTIAL,0
51,P0000052,CC02232,C02745,2025-09,7602.05,380.1,7602.05,2025-09-10,Paid,0
52,P0000053,CC00861,C02181,2026-02,4929.58,246.48,1478.87,2026-03-02,PARTIAL,500
53,P0000054,CC02476,C02728,2026-02,40078.97,2003.95,2003.95,2026-02-17,PARTIAL,500
54,P0000055,CC02730,C03235,2026-02,3171.24,158.56,3171.24,2026-02-10,Paid,0
55,P0000056,CC01404,C00283,2025-06,7926.97,396.35,0.0,2025-06-13,MISSED,0
56,P0000057,CC02579,C00587,2025-11,5718.71,285.94,6290.58,2025-11-22,Paid,250
57,P0000058,CC00019,C03828,2025-08,4388.94,219.45,219.45,2025-09-14,PARTIAL,750
58,P0000059,CC00699,C03770,2025-08,3768.82,188.44,2638.17,2025-09-14,PARTIAL,500
59,P0000060,CC00113,C04287,2025-10,6974.74,348.74,348.74,2025-10-22,PARTIAL,500
60,P0000061,CC01537,C02035,2026-04,41942.43,2097.12,0.0,2026-04-17,MISSED,100
61,P0000062,CC00572,C00511,2026-04,18325.96,916.3,12828.17,2026-04-10,PARTIAL,0
62,P0000063,CC00064,C00968,2025-11,6020.95,301.05,1806.28,2025-11-22,PARTIAL,250
63,P0000064,CC01377,C01982,2025-12,27966.48,1398.32,19576.54,2026-01-14,PARTIAL,500
64,P0000065,CC01524,C04435,2026-03,14681.9,734.1,0.0,2026-03-30,MISSED,100
65,P0000066,CC01891,C03503,2026-05,10342.62,517.13,0.0,2026-05-13,MISSED,0
66,P0000067,CC02281,C00185,2025-08,5332.94,266.65,5332.94,2025-08-22,Paid,250
67,P0000068,CC01276,C02246,2025-04,6682.49,334.12,4677.74,2025-04-17,PARTIAL,500
68,P0000069,CC01236,C04259,2025-05,8783.88,439.19,2635.16,2025-05-17,PARTIAL,100
