,Complaint_ID,Customer_ID,Complaint_Date,Complaint_Type,Priority,Status,Resolution_Days,Channel
0,CM000001,C04732,2025-10-07,LOAN QUERY,Critical,Escalated,,Branch
1,CM000002,C02258,2025-11-20,CARD ISSUE,Low,Open,,Social Media
2,CM000003,C02411,2025-12-11,FRAUD COMPLAINT,Medium,Pending,,Email
3,CM000004,C01042,2025-06-13,FRAUD COMPLAINT,Medium,Escalated,,Call Center
4,CM000005,C01346,2025-06-10,CARD ISSUE,Low,Escalated,,Call Center
5,CM000006,C02993,2024-08-15,TRANSACTION DISPUTE,Medium,Closed,1.0,App
6,CM000007,C03930,2025-02-23,KYC UPDATE,Critical,Open,,App
7,CM000008,C01529,2025-07-28,FRAUD COMPLAIN,Medium,Pending,,Email
8,CM000009,C04826,2025-03-06,CHARGES DISPUTE,Medium,Open,,App
9,CM000010,C02021,2024-12-27,CARD ISSUE,High,Open,,App
10,CM000011,C01306,2025-03-03,TRANSACTION DISPUTE,High,Closed,15.0,App
11,CM000012,C03628,2025-07-02,ACCOUNT SERVICE,Low,Open,,Call Center
12,CM000013,C02326,2025-10-15,LOAN QUERY,Low,Open,,Call Center
13,CM000014,C03409,2026-01-08,ACCOUNT SERVICE,Low,Closed,7.0,Call Center
14,CM000015,C00075,2025-08-22,LOAN QUERY,Medium,Pending,,Social Media
15,CM000016,C00211,2024-09-08,LOAN QUERY,Medium,Closed,0.0,Branch
16,CM000017,C00432,2024-07-04,CARD ISSUE,Medium,Closed,,Branch
17,CM000018,C00510,2024-06-15,KYC UPDATE,Medium,Open,,Social Media
18,CM000019,C03990,2025-12-22,KYC UPDATE,Medium,Escalated,,App
19,CM000020,C04578,2025-07-18,TRANSACTION DISPUTE,Low,Closed,15.0,Email
20,CM000021,C03965,2025-03-21,CHARGES DISPUTE,High,Closed,10.0,Email
21,CM000022,C03106,2025-02-07,TRANSACTION DISPUTE,Low,Escalated,,Social Media
22,CM000023,C03770,2024-08-01,KYC UPDATE,Medium,Open,,App
23,CM000024,C03546,2025-10-20,CHARGES DISPUTE,Critical,Closed,15.0,Social Media
24,CM000025,C01406,2026-01-24,CHARGES DISPUTE,Medium,Open,,App
25,CM000026,C03151,2024-05-14,ACCOUNT SERVICE,Medium,Closed,7.0,Email
26,CM000027,C04380,2025-05-19,TRANSACTION DISPUTE,Low,Escalated,,Social Media
27,CM000028,C03238,2026-02-02,KYC UPDATE,Medium,Open,,Call Center
28,CM000029,C03877,2024-11-26,CHARGES DISPUTE,Low,Escalated,,Branch
29,CM000030,C04150,2026-06-29,LOAN QUERY,Medium,Pending,,Social Media
30,CM000031,C00870,2024-07-22,TRANSACTION DISPUTE,Medium,Closed,0.0,Email
31,CM000032,C00665,2025-05-11,CARD ISSUE,Medium,Escalated,,Branch
32,CM000033,C02979,2024-02-06,ACCOUNT SERVICE,Low,Pending,,Social Media
33,CM000034,C02431,2025-12-01,TRANSACTION DISPUTE,Medium,Pending,,App
34,CM000035,C03244,2024-05-12,CARD ISSUE,Medium,Pending,,Email
35,CM000036,C00010,2025-04-22,KYC UPDATE,Low,Escalated,,App
36,CM000037,C02803,2024-10-31,ACCOUNT SERVICE,Low,Closed,7.0,Branch
37,CM000038,C00500,2025-05-20,FRAUD COMPLAINT,Medium,Open,,App
38,CM000039,C04720,2024-09-11,ACCOUNT SERVICE,Low,Open,,Call Center
39,CM000040,C03121,2024-08-04,CHARGES DISPUTE,Low,Closed,15.0,Call Center
40,CM000041,C01108,2025-02-13,CHARGES DISPUTE,Low,Closed,5.0,Email
41,CM000042,C04907,2024-07-25,FRAUD COMPLAINT,Low,Closed,30.0,Call Center
42,CM000043,C01568,2025-04-10,CARD ISSUE,Low,Closed,5.0,App
43,CM000044,C02814,2024-02-06,CHARGES DISPUTE,Low,Open,,Branch
44,CM000045,C02020,2025-10-25,CARD ISSUE,Medium,Escalated,,App
45,CM000046,C01743,2024-09-02,ACCOUNT SERVICE,Critical,Open,,Social Media
46,CM000047,C00915,2025-08-12,ACCOUNT SERVICE,Medium,Closed,,Branch
47,CM000048,C02644,2024-02-03,CARD ISSUE,Low,Pending,,Email
48,CM000049,C01551,2024-12-05,ACCOUNT SERVICE,Medium,Pending,,Social Media
49,CM000050,C03774,2025-12-12,TRANSACTION DISPUTE,Medium,Open,,Call Center
50,CM000051,C04122,2025-05-11,FRAUD COMPLAINT,Medium,Closed,1.0,Call Center
51,CM000052,C04610,2024-06-28,ACCOUNT SERVICE,High,Open,,Email
52,CM000053,C01666,2026-01-14,ACCOUNT SERVICE,Low,Open,,App
53,CM000054,C02605,2026-05-14,CARD ISSUE,Medium,Escalated,,Call Center
54,CM000055,C02920,2025-02-28,ACCOUNT SERVICE,Low,Escalated,,Email
55,CM000056,C04046,2024-04-13,FRAUD COMPLAINT,Low,Escalated,,Email
56,CM000057,C00615,2026-04-22,FRAUD COMPLAINT,Low,Closed,5.0,Social Media
57,CM000058,C03212,2025-09-30,TRANSACTION DISPUTE,Critical,Pending,,App
58,CM000059,C04083,2024-03-03,ACCOUNT SERVICE,Low,Escalated,,Social Media
59,CM000060,C00329,2024-11-05,CARD ISSU,Low,Open,,App
60,CM000061,C01388,2024-03-04,CHARGES DISPUTE,Low,Escalated,,Social Media
61,CM000062,C04718,2025-02-27,CHARGES DISPUTE,Medium,Escalated,,Branch
