,Loan_ID,Customer_ID,Loan_Type,Loan_Amount,Interest_Rate,Tenure_Months,Disbursement_Date,EMI,Outstanding_Principal,Days_Past_Due,Loan_Status,Branch_ID
0,L000001,C00388,Personal Loan,1009016.0,13.97,36,2021-07-30,34471.08,0.0,15,Active,BR024
1,L000002,C02239,Personal Loan,695805.0,10.89,36,2022-06-22,22743.53,0.0,0,Active,BR022
2,L000003,C01775,Auto Loan,1417057.0,14.52,12,2023-08-01,127580.43,651574.42,60,Active,BR021
3,L000004,C04145,Personal Loan,1222838.0,13.02,240,2021-10-01,14343.9,892928.3,0,Active,BR024
4,L000005,C04433,Personal Loan,901502.0,9.99,84,2025-02-24,14961.34,647159.22,0,Active,BR008
5,L000006,C01479,Home Loan,11912753.0,7.39,84,2022-04-30,182075.03,9545777.61,0,Active,BR006
6,L000007,C03266,Auto Loan,2445526.0,7.6,240,2022-11-23,19850.8,1929405.2,0,Active,BR027
7,L000008,C03123,Education Loan,1155613.0,11.14,60,2022-07-01,25206.59,273382.35,0,Active,BR026
8,L000009,C04334,Auto Loan,587936.0,7.67,12,2024-11-08,51053.97,332666.15,0,Active,BR002
9,L000010,C00719,Auto Loan,2063413.0,10.5,24,2023-01-25,95692.93,53861.470000000205,15,Active,BR024
10,L000011,C01822,Auto Loan,1200290.0,14.7,36,2025-09-29,41432.33,247346.40999999992,30,Active,BR014
11,L000012,C02560,Auto Loan,985760.0,10.84,60,2023-08-25,21354.24,772217.6,0,Active,BR030
12,L000013,C02199,Home Loan,8458547.0,12.06,48,2025-05-01,222995.25,5782604.0,0,Active,BR019
13,L000014,C04153,Auto Loan,1296813.0,13.6,36,2024-06-07,44070.47,1208672.06,0,Active,BR012
14,L000015,C01702,Business Loan,8666267.0,11.6,120,2020-07-24,122340.09,6097125.109999999,5,Active,BR017
15,L000016,C04860,Business Loan,9726029.0,7.49,84,2022-04-11,149132.52,4506390.800000001,0,Active,BR021
16,L000017,C03818,Auto Loan,1465664.0,7.82,120,2022-07-25,17643.45,1395090.2,120,NPA,BR023
17,L000018,C00163,Home Loan,2567156.0,14.15,120,2025-11-26,40091.17,2286517.81,0,Active,BR024
18,L000019,C01023,Business Loan,9305967.0,14.11,36,2025-06-04,318553.3,4209114.2,0,Active,BR010
19,L000020,C02402,Business Loan,2913658.0,10.83,120,2021-10-22,39855.78,2116542.4,0,Active,BR027
20,L000021,C01564,Personal Loan,1380104.0,7.71,48,2021-08-25,33504.82,642997.96,0,Active,BR008
21,L000022,C02692,Home Loan,-500000.0,8.45,84,2024-03-25,17080.07,499518.62,0,Active,BR025
22,L000023,C01632,Personal Loan,961740.0,10.01,36,2023-09-10,31037.16,0.0,5,Active,BR010
23,L000024,C01098,Auto Loan,6001355.0,14.48,120,2020-01-27,94920.69,3248654.99,0,Active,BR009
24,L000025,C01719,Education Loan,715967.0,16.31,60,2026-04-14,17529.08,330327.24,15,Active,BR020
25,L000026,C02249,Education Loan,250441.0,15.16,60,2025-01-17,5979.03,77049.13,0,Active,BR003
26,L000027,C00799,Personal Loan,161619.0,17.58,12,2025-01-14,14784.94,43339.48,0,Active,BR001
27,L000028,C02254,Auto Loan,1553565.0,7.07,24,2024-12-13,69606.42,91830.17999999992,0,Active,BR014
28,L000029,C00463,Business Loan,8723554.0,17.59,120,2021-09-29,154890.24,5625749.2,0,Active,BR023
29,L000030,C01019,Home Loan,8906176.0,8.33,60,2023-01-31,181994.99,5266276.2,5,Active,BR026
30,L000031,C02950,Home Loan,2604774.0,8.78,60,2023-07-04,53793.13,2066842.7,0,Active,BR019
31,L000032,C01945,Home Loan,9407388.0,13.0,60,2020-02-05,214046.99,8337153.05,0,Active,BR015
32,L000033,C04775,Home Loan,1397954.0,14.33,36,2025-10-02,48003.12,1109935.28,0,Active,BR008
33,L000034,C04422,Auto Loan,2974931.0,13.4,12,2020-02-04,266271.35,0.0,0,Active,BR013
34,L000035,C02548,Business Loan,1953167.0,16.54,84,2022-06-09,39397.03,1913769.97,0,Active,BR028
35,L000036,C03717,Personal Loan,1027385.0,10.55,180,2021-11-10,11388.57,970442.15,0,Active,BR028
36,L000037,C00823,Business Loan,3018442.0,10.73,120,2022-09-26,41119.06,2278298.92,0,Active,BR023
37,L000038,C02460,Personal Loan,762412.0,15.53,60,2023-12-30,18350.52,395401.6,0,Active,BR005
38,L000039,C01289,Education Loan,1813991.0,7.08,36,2023-12-20,56077.15,0.0,60,Active,BR022
39,L000040,C04104,Home Loan,13172403.0,15.78,36,2026-05-31,461673.17,7632324.96,0,Active,BR010
40,L000041,C01603,Home Loan,5768839.0,13.15,84,2024-12-21,105417.52,4082158.68,0,Active,BR023
41,L000042,C01831,Home Loan,11794874.0,13.31,12,2023-04-02,1055202.24,7574065.04,5,Active,BR001
42,L000043,C04320,Personal Loan,1370262.0,16.86,240,2021-11-16,19953.26,1230589.18,0,Active,BR012
43,L000044,C00995,Business Loan,3482339.0,16.77,12,2025-07-25,317225.89,2213435.44,0,Active,BR003
44,L000045,C02228,Education Loan,2433915.0,13.11,12,2021-12-18,217516.29,1781366.13,30,Active,BR012
45,L000046,C01413,Business Loan,8673786.0,15.16,84,2024-06-27,168155.5,4469898.5,5,Active,BR029
46,L000047,C03756,Home Loan,10619628.0,7.78,36,2022-05-14,331703.81,7302589.9,0,Active,BR030
47,L000048,C02694,Personal Loan,172208.0,13.95,48,2021-06-30,4701.52,35863.919999999984,0,Active,BR005
48,L000049,C04681,Home Loan,-500000.0,10.94,24,2022-12-04,337683.1,6236482.7,0,Active,BR012
49,L000050,C03055,Home Loan,9593401.0,13.78,48,2022-04-21,261096.36,2804895.6400000006,15,Active,BR013
50,L000051,C00368,Business Loan,6203473.0,7.21,60,2022-04-20,123451.76,5833117.72,0,Active,BR001
51,L000052,C00896,Personal Loan,534795.0,7.65,180,2022-08-06,5003.31,469751.97,0,Active,BR028
52,L000053,C00686,Business Loan,2776863.0,13.34,84,2025-02-01,51031.29,939736.56,5,Active,BR003
53,L000054,C03062,Education Loan,1830659.0,8.02,60,2022-07-14,37136.69,1682112.24,5,Active,BR022
54,L000055,C04286,Home Loan,3014286.0,13.54,12,2022-04-16,269992.08,2204309.76,5,Active,BR012
55,L000056,C03411,Education Loan,2309551.0,16.72,36,2025-01-18,82020.31,1489347.9,0,Active,BR004
56,L000057,C01128,Home Loan,3493450.0,8.33,120,2023-04-27,42996.8,2289539.6,5,Active,BR008
57,L000058,C00180,Personal Loan,374057.0,15.12,60,2026-03-17,8922.37,222376.71,60,Active,BR026
58,L000059,C00441,Education Loan,1255285.0,8.92,12,2024-08-06,109729.96,596905.24,0,Active,BR009
59,L000060,C00139,Auto Loan,2838850.0,11.68,120,2024-12-27,40205.83,2718232.51,0,Active,BR015
60,L000061,C01037,Education Loan,1263938.0,17.41,120,2022-09-29,22296.41,505860.06000000006,0,Active,BR027
61,L000062,C01435,Auto Loan,525335.0,9.71,12,2020-02-01,46114.47,110304.77000000002,0,Active,BR005
62,L000063,C00164,Education Loan,1769210.0,16.77,12,2020-07-27,161167.31,1124540.76,0,Active,BR021
63,L000064,C00068,Business Loan,3135305.0,12.89,48,2025-11-12,83941.31,2715598.45,0,Active,BR015
64,L000065,C00714,Education Loan,2121376.0,8.64,12,2021-12-04,185163.5,0.0,0,Active,BR014
65,L000066,C03374,Personal Loan,730399.0,11.85,180,2020-07-28,8695.65,539094.7,0,Active,BR017
66,L000067,C00207,Auto Loan,984636.0,14.41,36,2025-04-29,33848.93,544599.9099999999,0,Active,BR019
67,L000068,C00522,Home Loan,9172580.0,8.2,240,2025-08-05,77868.78,6836516.6,0,Active,BR029
68,L000069,C01084,Home Loan,12637597.0,16.08,240,2024-08-05,176580.26,6280707.64,0,Active,BR005
69,L000070,C04737,Business Loan,9622913.0,9.75,48,2024-04-06,242908.22,2335666.4000000004,0,Active,BR011
